模型,Accuracy,Precision,Recall,F1,ROC-AUC,训练耗时(s),预测耗时(s),best_iteration
Logistic回归（基线）,0.9989,0.9976,1.0,0.9988,0.9992,0.19,0.013,
SVM（线性核）,0.9989,0.9976,1.0,0.9988,0.999,0.28,0.011,
随机森林,1.0,1.0,1.0,1.0,1.0,2.53,0.364,
XGBoost（上线模型）,1.0,1.0,1.0,1.0,1.0,2.21,0.058,276.0
