版本,生效日期,技能,经验,学历,地域,薪资,专业证书,说明
v1,2026-09-14,0.30,0.20,0.15,0.15,0.12,0.08,与任务5 标签口径完全一致（技能维度内部 = 覆盖率口径0.6 + TF-IDF余弦口径0.4）；任务8 多模型对比统一使用本版本
v2,2026-09-14,0.38,0.18,0.12,0.16,0.10,0.06,任务6 在线推荐采用：200 份简历 × Top10 调优，Top-10 岗位大类一致率 50.55%→54.95%（+4.40pp，超出 ±2.2pp 噪声带）、平均技能命中 2.82→3.11，代价是同城率 13.50%→12.00%；详见 匹配权重调优_对比.md
