岗位ID,岗位名称,公司,城市,一级簇号,一级簇名,二级簇名
J0057,中高级软件工程师,厦门培君网络科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0058,系统专员/助理(J12872),特宝生物,厦门,0,制造业质量/检验（成本管理、抖音）,Java/后端（spring、mybatis）
J0059,测试自动化测试工程师,厦门富企来网络科技有限公司,厦门,3,软件测试（信号测试、安全测试）,—
J0060,OA开发工程师,软通动力信息技术(集团)股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0061,需求分析师,时代凌宇,厦门,6,产品/项目管理（国内市场、需求分析）,—
J0062,数智化产品工程师-MES-XMXN (MJ043831),厦门时代新能动力科技有限公司,厦门,6,产品/项目管理（国内市场、需求分析）,—
J0063,嵌入式软件工程师,厦门四五零科技有限公司,厦门,5,嵌入式/硬件（rtos、32位单片机）,—
J0064,软件培训工程师,厦门瀚海潮升科技有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,制造业质量/检验（图文平台、性能检测）
J0065,供应链助理,厦门惠禾盛电气有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,硬件/仪器/自动化（组态软件、scratch）
J0066,CARE助理软件工程师,英科新创,厦门,4,后端开发（hibernate、linux开发）,—
J0067,Java开发（大数据平台方向）,厦门争新科技有限公司,厦门,2,数据分析/BI（数仓开发、kettle）,—
J0068,mes实施工程师,厦门呼博仕智能健康科技股份有限公司,厦门,1,运维/云与网络（分布式电站、空调工程）,—
J0069,运维工程师,京北方,厦门,1,运维/云与网络（分布式电站、空调工程）,—
J0070,中高级软件开发工程师（AI方向）,厦门助赢科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0071,资材部门智能化专案实习生,友达光电(厦门)有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,硬件/仪器/自动化（组态软件、scratch）
J0072,高级移动应用工程师,叠拓信息技术(北京)有限公司成都分公司,厦门,0,制造业质量/检验（成本管理、抖音）,制造业质量/检验（图文平台、性能检测）
