简历ID,配对数,Top10重合度,Spearman相关,模型NDCG@10,规则NDCG@10,模型MAE
R444,150,1.0,0.997,0.9259,0.9292,1.099
R445,150,0.818,0.995,1.0,1.0,0.886
R446,150,0.667,0.989,1.0,1.0,0.745
R447,150,0.818,0.997,1.0,0.9337,0.923
R448,367,0.818,0.971,1.0,1.0,0.927
R449,150,0.818,0.995,0.7885,0.8454,1.02
R450,288,0.667,0.995,1.0,1.0,1.053
R451,150,1.0,0.994,0.0,0.0,0.638
R452,487,0.538,0.99,1.0,1.0,0.626
R453,150,0.667,0.987,0.7458,0.7458,0.905
R454,288,1.0,0.989,0.7227,0.6992,0.865
R455,150,1.0,0.993,0.0,0.0,0.772
R456,150,0.333,0.99,1.0,1.0,1.015
R457,385,0.818,0.991,0.9266,0.9266,0.791
R458,237,0.818,0.996,0.9052,0.9337,1.122
R459,150,0.818,0.994,0.0,0.0,0.842
R460,237,0.667,0.994,0.9266,0.9364,1.054
R461,150,0.818,0.939,0.0,0.0,0.593
R462,1319,0.818,0.998,1.0,1.0,0.737
R463,1323,1.0,0.993,1.0,1.0,0.775
R464,150,1.0,0.996,0.6448,0.6448,0.75
R465,288,0.818,0.992,1.0,1.0,0.723
R466,150,0.818,0.988,1.0,1.0,1.025
R467,150,0.818,0.998,0.9337,0.9337,1.024
R468,1323,0.818,0.997,1.0,1.0,0.785
R469,150,0.818,0.996,1.0,1.0,0.799
R470,487,0.538,0.992,1.0,1.0,0.74
R471,150,0.818,0.992,1.0,1.0,0.996
R472,150,1.0,0.995,0.0,0.0,0.963
R473,744,0.818,0.997,1.0,1.0,0.749
R474,150,1.0,0.989,0.0,0.0,1.017
R475,150,0.818,0.993,0.0,0.0,0.681
R476,1023,1.0,0.998,1.0,1.0,0.572
R477,150,0.818,0.996,1.0,1.0,0.667
R478,367,0.818,0.993,0.0,0.0,0.691
R479,150,0.818,0.997,0.9292,0.9972,0.919
R480,1132,0.667,0.997,1.0,1.0,0.693
R481,150,0.818,0.994,0.4307,0.3869,0.943
R482,367,0.429,0.997,1.0,1.0,0.761
R483,150,0.818,0.991,0.3869,0.4307,1.008
R484,1132,0.818,0.997,1.0,1.0,0.746
R485,1132,0.818,0.996,1.0,1.0,0.814
R486,150,0.818,0.996,0.0,0.0,0.524
R487,150,0.818,0.992,0.0,0.0,0.422
R488,150,1.0,0.987,0.0,0.0,0.603
R489,744,0.818,0.998,1.0,1.0,0.699
R490,150,1.0,0.983,0.0,0.0,0.598
R491,487,0.818,0.968,1.0,1.0,0.569
R492,150,1.0,0.997,1.0,1.0,0.713
R493,150,1.0,0.996,1.0,1.0,0.858
R494,2223,0.538,0.975,1.0,1.0,0.795
R495,150,0.818,0.995,1.0,1.0,0.677
R496,744,0.667,0.991,1.0,1.0,0.679
R497,1132,0.818,0.996,1.0,1.0,0.628
R498,744,0.818,0.979,1.0,1.0,1.622
R499,150,1.0,0.997,0.0,0.0,0.854
R500,237,0.818,0.995,0.8669,0.8701,0.868
