口径,任务,实验,模型,特征,重要性
按岗位,T1回归,②全特征+噪声标签,XGBoost,是否同省,0.02787
按岗位,T1回归,②全特征+噪声标签,XGBoost,岗位城市岗位数,0.00021
按岗位,T1回归,②全特征+噪声标签,XGBoost,岗位城市简历数,0.00022
按岗位,T1回归,②全特征+噪声标签,XGBoost,简历期望薪资下限,0.0064
按岗位,T1回归,②全特征+噪声标签,XGBoost,期望薪资面议,0.00569
按岗位,T1回归,②全特征+噪声标签,XGBoost,岗位薪资下限,0.00054
按岗位,T1回归,②全特征+噪声标签,XGBoost,岗位薪资上限,0.00138
按岗位,T1回归,②全特征+噪声标签,XGBoost,薪资上限与期望下限比,0.01022
按岗位,T1回归,②全特征+噪声标签,XGBoost,技术认证数,0.00314
按岗位,T1回归,②全特征+噪声标签,XGBoost,通用证书数,0.00039
按岗位,T1回归,②全特征+噪声标签,XGBoost,技术认证方向命中数,0.01328
按岗位,T1回归,②全特征+噪声标签,XGBoost,岗位大类,0.00014
按岗位,T1回归,②全特征+噪声标签,XGBoost,期望岗位大类,0.00022
按岗位,T1回归,②全特征+噪声标签,XGBoost,岗位大类一致,0.00061
按岗位,T1回归,②全特征+噪声标签,XGBoost,今日回复数,0.00012
按岗位,T1回归,②全特征+噪声标签,XGBoost,是否在线,0.0001
按岗位,T1回归,②全特征+噪声标签,XGBoost,同公司岗位数,0.00017
按岗位,T2分类,②全特征+噪声标签,随机森林,简历技能数,0.0332
按岗位,T2分类,②全特征+噪声标签,随机森林,岗位技能要求数,0.01705
按岗位,T2分类,②全特征+噪声标签,随机森林,技能命中数,0.04856
按岗位,T2分类,②全特征+噪声标签,随机森林,技能精确命中数,0.00636
按岗位,T2分类,②全特征+噪声标签,随机森林,岗位技能标签数,0.00729
按岗位,T2分类,②全特征+噪声标签,随机森林,岗位名称与期望岗位相似度,0.01268
按岗位,T2分类,②全特征+噪声标签,随机森林,描述与简历文本相似度,0.02201
按岗位,T2分类,②全特征+噪声标签,随机森林,描述与技能特长相似度,0.05585
按岗位,T2分类,②全特征+噪声标签,随机森林,专业命中岗位描述,0.01624
按岗位,T2分类,②全特征+噪声标签,随机森林,简历工作年限,0.1441
按岗位,T2分类,②全特征+噪声标签,随机森林,是否应届,0.07199
按岗位,T2分类,②全特征+噪声标签,随机森林,岗位经验下限,0.05437
按岗位,T2分类,②全特征+噪声标签,随机森林,岗位经验上限,0.0563
按岗位,T2分类,②全特征+噪声标签,随机森林,岗位经验不限,0.00021
按岗位,T2分类,②全特征+噪声标签,随机森林,岗位经验缺失,0.03382
按岗位,T2分类,②全特征+噪声标签,随机森林,简历学历序数,0.01752
按岗位,T2分类,②全特征+噪声标签,随机森林,岗位学历要求序数,0.02541
按岗位,T2分类,②全特征+噪声标签,随机森林,距离km,0.06396
按岗位,T2分类,②全特征+噪声标签,随机森林,是否同城,0.06429
按岗位,T2分类,②全特征+噪声标签,随机森林,是否同省,0.02997
按岗位,T2分类,②全特征+噪声标签,随机森林,岗位城市岗位数,0.00965
按岗位,T2分类,②全特征+噪声标签,随机森林,岗位城市简历数,0.00623
按岗位,T2分类,②全特征+噪声标签,随机森林,简历期望薪资下限,0.0367
按岗位,T2分类,②全特征+噪声标签,随机森林,期望薪资面议,0.00524
按岗位,T2分类,②全特征+噪声标签,随机森林,岗位薪资下限,0.01466
按岗位,T2分类,②全特征+噪声标签,随机森林,岗位薪资上限,0.02125
按岗位,T2分类,②全特征+噪声标签,随机森林,薪资上限与期望下限比,0.05723
按岗位,T2分类,②全特征+噪声标签,随机森林,技术认证数,0.0106
按岗位,T2分类,②全特征+噪声标签,随机森林,通用证书数,0.00543
按岗位,T2分类,②全特征+噪声标签,随机森林,技术认证方向命中数,0.01246
按岗位,T2分类,②全特征+噪声标签,随机森林,岗位大类,0.0076
按岗位,T2分类,②全特征+噪声标签,随机森林,期望岗位大类,0.00811
按岗位,T2分类,②全特征+噪声标签,随机森林,岗位大类一致,0.00297
按岗位,T2分类,②全特征+噪声标签,随机森林,今日回复数,0.00822
按岗位,T2分类,②全特征+噪声标签,随机森林,是否在线,0.00218
按岗位,T2分类,②全特征+噪声标签,随机森林,同公司岗位数,0.01031
按岗位,T2分类,②全特征+噪声标签,XGBoost,简历技能数,0.01364
按岗位,T2分类,②全特征+噪声标签,XGBoost,岗位技能要求数,0.00487
按岗位,T2分类,②全特征+噪声标签,XGBoost,技能命中数,0.03881
按岗位,T2分类,②全特征+噪声标签,XGBoost,技能精确命中数,0.00232
按岗位,T2分类,②全特征+噪声标签,XGBoost,岗位技能标签数,0.00259
按岗位,T2分类,②全特征+噪声标签,XGBoost,岗位名称与期望岗位相似度,0.00227
按岗位,T2分类,②全特征+噪声标签,XGBoost,描述与简历文本相似度,0.00246
按岗位,T2分类,②全特征+噪声标签,XGBoost,描述与技能特长相似度,0.01436
按岗位,T2分类,②全特征+噪声标签,XGBoost,专业命中岗位描述,0.02442
按岗位,T2分类,②全特征+噪声标签,XGBoost,简历工作年限,0.10111
按岗位,T2分类,②全特征+噪声标签,XGBoost,是否应届,0.30539
按岗位,T2分类,②全特征+噪声标签,XGBoost,岗位经验下限,0.04353
按岗位,T2分类,②全特征+噪声标签,XGBoost,岗位经验上限,0.04058
按岗位,T2分类,②全特征+噪声标签,XGBoost,岗位经验不限,0.00503
按岗位,T2分类,②全特征+噪声标签,XGBoost,岗位经验缺失,0.0967
按岗位,T2分类,②全特征+噪声标签,XGBoost,简历学历序数,0.02383
按岗位,T2分类,②全特征+噪声标签,XGBoost,岗位学历要求序数,0.02236
按岗位,T2分类,②全特征+噪声标签,XGBoost,距离km,0.04289
按岗位,T2分类,②全特征+噪声标签,XGBoost,是否同城,0.07199
按岗位,T2分类,②全特征+噪声标签,XGBoost,是否同省,0.0108
按岗位,T2分类,②全特征+噪声标签,XGBoost,岗位城市岗位数,0.00239
按岗位,T2分类,②全特征+噪声标签,XGBoost,岗位城市简历数,0.00226
按岗位,T2分类,②全特征+噪声标签,XGBoost,简历期望薪资下限,0.00884
按岗位,T2分类,②全特征+噪声标签,XGBoost,期望薪资面议,0.06259
按岗位,T2分类,②全特征+噪声标签,XGBoost,岗位薪资下限,0.00238
按岗位,T2分类,②全特征+噪声标签,XGBoost,岗位薪资上限,0.00363
按岗位,T2分类,②全特征+噪声标签,XGBoost,薪资上限与期望下限比,0.01367
按岗位,T2分类,②全特征+噪声标签,XGBoost,技术认证数,0.00438
按岗位,T2分类,②全特征+噪声标签,XGBoost,通用证书数,0.00222
按岗位,T2分类,②全特征+噪声标签,XGBoost,技术认证方向命中数,0.0138
按岗位,T2分类,②全特征+噪声标签,XGBoost,岗位大类,0.00211
按岗位,T2分类,②全特征+噪声标签,XGBoost,期望岗位大类,0.00218
按岗位,T2分类,②全特征+噪声标签,XGBoost,岗位大类一致,0.00341
按岗位,T2分类,②全特征+噪声标签,XGBoost,今日回复数,0.00224
按岗位,T2分类,②全特征+噪声标签,XGBoost,是否在线,0.00184
按岗位,T2分类,②全特征+噪声标签,XGBoost,同公司岗位数,0.00209
按岗位,T1回归,③仅文本相似度特征,随机森林,岗位名称与期望岗位相似度,0.22813
按岗位,T1回归,③仅文本相似度特征,随机森林,描述与简历文本相似度,0.35097
按岗位,T1回归,③仅文本相似度特征,随机森林,描述与技能特长相似度,0.4209
按岗位,T1回归,③仅文本相似度特征,XGBoost,岗位名称与期望岗位相似度,0.07297
按岗位,T1回归,③仅文本相似度特征,XGBoost,描述与简历文本相似度,0.34389
按岗位,T1回归,③仅文本相似度特征,XGBoost,描述与技能特长相似度,0.58314
按岗位,T2分类,③仅文本相似度特征,随机森林,岗位名称与期望岗位相似度,0.39962
按岗位,T2分类,③仅文本相似度特征,随机森林,描述与简历文本相似度,0.38272
按岗位,T2分类,③仅文本相似度特征,随机森林,描述与技能特长相似度,0.21766
按岗位,T2分类,③仅文本相似度特征,XGBoost,岗位名称与期望岗位相似度,0.16108
按岗位,T2分类,③仅文本相似度特征,XGBoost,描述与简历文本相似度,0.34981
按岗位,T2分类,③仅文本相似度特征,XGBoost,描述与技能特长相似度,0.48911
