口径,任务,实验,模型,特征,重要性
按简历,T1回归,②全特征+噪声标签,随机森林,简历技能数,0.00066
按简历,T1回归,②全特征+噪声标签,随机森林,岗位技能要求数,0.00795
按简历,T1回归,②全特征+噪声标签,随机森林,技能命中数,0.05141
按简历,T1回归,②全特征+噪声标签,随机森林,技能精确命中数,0.00027
按简历,T1回归,②全特征+噪声标签,随机森林,岗位技能标签数,0.00094
按简历,T1回归,②全特征+噪声标签,随机森林,岗位名称与期望岗位相似度,0.00192
按简历,T1回归,②全特征+噪声标签,随机森林,描述与简历文本相似度,0.00301
按简历,T1回归,②全特征+噪声标签,随机森林,描述与技能特长相似度,0.02594
按简历,T1回归,②全特征+噪声标签,随机森林,专业命中岗位描述,0.01354
按简历,T1回归,②全特征+噪声标签,随机森林,简历工作年限,0.40791
按简历,T1回归,②全特征+噪声标签,随机森林,是否应届,0.0
按简历,T1回归,②全特征+噪声标签,随机森林,岗位经验下限,0.07662
按简历,T1回归,②全特征+噪声标签,随机森林,岗位经验上限,0.08518
按简历,T1回归,②全特征+噪声标签,随机森林,岗位经验不限,3e-05
按简历,T1回归,②全特征+噪声标签,随机森林,岗位经验缺失,0.03678
按简历,T1回归,②全特征+噪声标签,随机森林,简历学历序数,0.02405
按简历,T1回归,②全特征+噪声标签,随机森林,岗位学历要求序数,0.03791
按简历,T1回归,②全特征+噪声标签,随机森林,距离km,0.18368
按简历,T1回归,②全特征+噪声标签,随机森林,是否同城,0.0005
按简历,T1回归,②全特征+噪声标签,随机森林,是否同省,0.00012
按简历,T1回归,②全特征+噪声标签,随机森林,岗位城市岗位数,0.00126
按简历,T1回归,②全特征+噪声标签,随机森林,岗位城市简历数,0.00062
按简历,T1回归,②全特征+噪声标签,随机森林,简历期望薪资下限,0.0037
按简历,T1回归,②全特征+噪声标签,随机森林,期望薪资面议,0.00116
按简历,T1回归,②全特征+噪声标签,随机森林,岗位薪资下限,0.00162
按简历,T1回归,②全特征+噪声标签,随机森林,岗位薪资上限,0.00222
按简历,T1回归,②全特征+噪声标签,随机森林,薪资上限与期望下限比,0.02255
按简历,T1回归,②全特征+噪声标签,随机森林,技术认证数,0.0009
按简历,T1回归,②全特征+噪声标签,随机森林,通用证书数,0.00038
按简历,T1回归,②全特征+噪声标签,随机森林,技术认证方向命中数,0.0027
按简历,T1回归,②全特征+噪声标签,随机森林,岗位大类,0.00071
按简历,T1回归,②全特征+噪声标签,随机森林,期望岗位大类,0.00078
按简历,T1回归,②全特征+噪声标签,随机森林,岗位大类一致,0.00019
按简历,T1回归,②全特征+噪声标签,随机森林,今日回复数,0.00106
按简历,T1回归,②全特征+噪声标签,随机森林,是否在线,0.00027
按简历,T1回归,②全特征+噪声标签,随机森林,同公司岗位数,0.00147
按简历,T1回归,②全特征+噪声标签,XGBoost,简历技能数,0.01062
按简历,T1回归,②全特征+噪声标签,XGBoost,岗位技能要求数,0.00294
按简历,T1回归,②全特征+噪声标签,XGBoost,技能命中数,0.02169
按简历,T1回归,②全特征+噪声标签,XGBoost,技能精确命中数,0.00078
按简历,T1回归,②全特征+噪声标签,XGBoost,岗位技能标签数,0.00028
按简历,T1回归,②全特征+噪声标签,XGBoost,岗位名称与期望岗位相似度,0.00015
按简历,T1回归,②全特征+噪声标签,XGBoost,描述与简历文本相似度,0.00015
按简历,T1回归,②全特征+噪声标签,XGBoost,描述与技能特长相似度,0.01313
按简历,T1回归,②全特征+噪声标签,XGBoost,专业命中岗位描述,0.01783
按简历,T1回归,②全特征+噪声标签,XGBoost,简历工作年限,0.13156
按简历,T1回归,②全特征+噪声标签,XGBoost,是否应届,0.2174
按简历,T1回归,②全特征+噪声标签,XGBoost,岗位经验下限,0.05382
按简历,T1回归,②全特征+噪声标签,XGBoost,岗位经验上限,0.0502
按简历,T1回归,②全特征+噪声标签,XGBoost,岗位经验不限,0.00039
按简历,T1回归,②全特征+噪声标签,XGBoost,岗位经验缺失,0.07299
按简历,T1回归,②全特征+噪声标签,XGBoost,简历学历序数,0.02709
按简历,T1回归,②全特征+噪声标签,XGBoost,岗位学历要求序数,0.02159
按简历,T1回归,②全特征+噪声标签,XGBoost,距离km,0.08852
